region_code,year,indicator_code,indicator_name,value,unit,region_name,time_period_name,is_outlier,data_source,data_type
110000,2023,A0101,地区生产总值（当年价格）,47353.7,亿元,北京,最近10年,False,GDP数据,GDP数据
110000,2023,A0101,地区生产总值（当年价格）,47353.7,亿元,北京,最近20年,False,GDP数据,GDP数据
110000,2023,A0102,第一产业增加值,115.1,亿元,北京,最近5年,False,GDP数据,GDP数据
110000,2023,A0102,第一产业增加值,115.1,亿元,北京,最近10年,False,GDP数据,GDP数据
110000,2023,A0102,第一产业增加值,115.1,亿元,北京,最近20年,False,GDP数据,GDP数据
110000,2023,A0103,第二产业增加值,6893.8,亿元,北京,最近5年,False,GDP数据,GDP数据
110000,2023,A0103,第二产业增加值,6893.8,亿元,北京,最近10年,False,GDP数据,GDP数据
110000,2023,A0103,第二产业增加值,6893.8,亿元,北京,最近20年,False,GDP数据,GDP数据
110000,2023,A0104,第三产业增加值,40344.8,亿元,北京,最近5年,True,GDP数据,GDP数据
110000,2023,A0104,第三产业增加值,40344.8,亿元,北京,最近10年,True,GDP数据,GDP数据
110000,2023,A0104,第三产业增加值,40344.8,亿元,北京,最近20年,True,GDP数据,GDP数据
110000,2023,A0202,城镇非私营单位在岗职工平均工资,224562.0,元,北京,最近5年,True,人口就业数据,城镇非私营单位在岗职工平均工资
110000,2023,A0202,城镇非私营单位在岗职工平均工资,224562.0,元,北京,最近10年,True,人口就业数据,城镇非私营单位在岗职工平均工资
110000,2023,A0202,城镇非私营单位在岗职工平均工资,224562.0,元,北京,最近20年,True,人口就业数据,城镇非私营单位在岗职工平均工资
110000,2023,A0302,房地产开发投资额,4202.4126,万平方米,北京,最近5年,False,房地产数据,房屋施工面积
110000,2023,A0302,房地产开发投资额,4202.4126,万平方米,北京,最近10年,False,房地产数据,房屋施工面积
110000,2023,A0302,房地产开发投资额,4202.4126,万平方米,北京,最近20年,False,房地产数据,房屋施工面积
110000,2023,A0303,房地产开发住宅投资额,2714.4155,万平方米,北京,最近5年,False,房地产数据,房屋新开工面积
110000,2023,A0303,房地产开发住宅投资额,2714.4155,万平方米,北京,最近10年,False,房地产数据,房屋新开工面积
110000,2023,A0303,房地产开发住宅投资额,2714.4155,万平方米,北京,最近20年,False,房地产数据,房屋新开工面积
110000,2023,A0304,房地产开发办公楼投资额,268.7398,万平方米,北京,最近5年,False,房地产数据,房屋竣工面积
110000,2023,A0304,房地产开发办公楼投资额,268.7398,万平方米,北京,最近10年,False,房地产数据,房屋竣工面积
110000,2023,A0304,房地产开发办公楼投资额,268.7398,万平方米,北京,最近20年,False,房地产数据,房屋竣工面积
